Title,Artist,Creation_Date,Accession_Number,Art_Type,Culture,Image
Mounted traveler and servant bearing a zither,Formerly attributed to Wu Wei (1459-1508),1368-1644,F1909.251o,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7067_05
"Rug, oblong",,1662-1722,F1916.356,Costume and Textile,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8546_23
Buddhist tablet: the Buddha Gautama Sakyamuni (Shih-chia) and attendant divinities,,386-535,F1917.411,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8536_13
Fragment of wood with lacquer,,475-221 BCE,FSC-W-26,Unclassified,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-FSC-W-26
Pavilions by a mountain stream,,16th-17th century,F1911.155e,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8142_08
Ritual wine vessel (<em>gu</em>),,ca. 12th century BCE,F1911.51,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7592_13
Lid of a container (possibly a <em>pou</em>),,ca. 1200-1100 BCE,F1974.3,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7814_13
Central Asian groom pasturing a horse,,14th century,F1992.40,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7927_02
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1917.350,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1917.350_001
Pendant in the form of a bird,,ca. 1300-ca. 1050 BCE,S1987.559,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-S1987.559_001
Tomb jar,,early 1st-early 3rd century,F1906.244,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5836_03
Statuette: Buddhist trinity,,556,F1909.262,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7606_09
Ring,,206 BCE-220 CE,F1911.621,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7700_04
Knife handle,,ca. 1050-221 BCE,F1916.18,Weapon and Armament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7728_04
"Quails, other birds, and brambles",,18th century?,F1916.527,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5787_11
Willow-branch Guanyin,Formerly attributed to He Liu daizhao (active mid-late 13th century),17th century,F1916.58,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5772_04
"Flowers, Ducks, and other Birds",Formerly attributed to Li Di (active late 12th-early 13th century),15th-18th century,F1916.65,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5772_09
Tube (cong<em> ç®</em>),,ca. 1600-ca. 771 BCE,F1917.74,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1917.74_001
Disk (<em>bi</em>),,1736-1795,F1919.36,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7624_37
"Dagger-axe (<em>ge</em> æ), fragment reworked",,ca. 1300-ca. 1050 BCE,F1916.150,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.150_001
Mirror,,3rd century BCE,F1909.276a-b,Mirror,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5992_12
Mirror,,1st-2nd century,F1911.108,Mirror,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5994_02
Mask and ring,,770 BCE-220 CE,F1915.82,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_21
Pendant in the form of a disk (<em>bi</em>) with raised knobs,,475-221 BCE,F1916.510,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.510_001
Drake and lotus flowers,Formerly attributed to Huang Jucai (933-after 993),1279-1368,F1919.113,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5847_05
Dagger-axe (<em>ge</em>),,ca. 11th-8th century BCE,F1916.28,Weapon and Armament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7728_06
"Cock, hen and chickens near peony shrubs",,18th century,F1917.207,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5706_07
Disk (<em>bi</em>),,18th century,F1917.389,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7624_35
Seated bodhisattva,,550-577,F1909.290,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7734_07
Immortals Playing Weiqi on Penglai,Formerly attributed to Leng Qian (14th century),second half of the 16th century -17th century,F1911.188,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6052_07
After the Rain: Fishing Nets Drying on the Shore,Traditionally attributed to Li Tang æå (ca. 1050s-after 1130),1368-1644,F1911.306,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5716_09
Possibly weight with a crouching tiger,,206 BCE-220 CE,F1915.94,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_22
Travelers in the Springtime Mountains,Formerly attributed to Qiu Ying ä»è± (ca. 1494-1552),16th-17th century,F1909.224,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7308_01
Quail and flowers,Formerly attributed to Zhao Boju (ca. 1120s-ca.1162),18th century,F1909.249c,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5374_03
Ritual vessel (<em>pan</em>),,ca. 8th century BCE,F1911.44,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7726_02
The Standing Figure of a Woman,Spurious signature of Yuan Qian (Mid-15th century),17th century,F1915.31,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5755_07
Mirror (<em>chien</em>),,206 BCE-220 CE,F1917.166,Mirror,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7680_30
"Flowers, Plants, and Insects",Formerly attributed to Huang Quan (903-968),16th century,F1909.237,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7460_35
Fan mounted as an album leaf,,1368-1644,F1909.245g,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5922_05
Mask,,206 BCE-220 CE,F1911.626,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7700_09
Ornament: grotesque animal mask,,ca. 1050-771 BCE,F1916.277,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6923_01
Mirror (<em>jian</em>),,206 BCE-220 CE,F1916.330,Mirror,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7690_25
"A Tartar, an emaciated horse, and a dog",,1279-1368,F1917.102,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5718_01
Fragment of Mirror. Quatrefoil and molded cloud design,,475-221 BCE,FSC-B-526,Mirror,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8514_05
Bracelet,,ca. 3500-2700 BCE,F1919.48,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1919.48_001-000001
Statuette,,ca. 520-530,F1909.268,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7630_02
Landscape: rain in the mountains,,1368-1644,F1916.404,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5787_04
A Horse and Rider,Formerly attributed to Li Gonglin (å³)æå¬éº (ca. 1049-1106),16th century?,F1917.107,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-1570-16h
Clasp or ornament,,4th-3rd century BCE,F1917.254,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7624_32
Finial,,475-221 BCE,F1914.34,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_14
The Palaces and Gate Towers of Penglai,Zhu Dan (mid- to late 17th century),1683,F1909.397,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6111_04
Seated Buddha with bodhisattvas (fragment),,581-618,F1913.24,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7756_10
Zhongli Quan Seeking the Dao,Formerly attributed to Sun Zhiwei (late 10th-early 11th century),15th century,F1916.114,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7069_03
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1916.501,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.501_001
"Harvesting knife (<em>hu</em> ç¬), fragment",,ca. 2000-1700 BCE,F1917.392,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1917.392_001
Pendant in the form of a stag,,ca. 1050-ca. 950 BCE,S1987.869,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-S1987.869_001
Bodhisattva Avalokiteshvara (Guanyin),,482,F1911.131,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7423_22
Ornament in the form of a bear,,206 BCE-220 CE,F1916.26,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7705_30
The dragon king revering the Buddha,Attributed to Chen Hongshou é³æ´ªç¶¬ (1598-1652),1368-1644,F1916.604,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5676_09
Semi-circular plaque (<em>huang</em>),,206 BCE-220 CE,F1917.51,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7630_27
Mirror,,206 BCE-220 CE,F1911.100,Mirror,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5993_06
Cylindrical bead,,ca. 3300-2250 BCE,F1914.126,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1914.126_001-000001
Tomb jar,,early 1st-early 3rd century,F1906.35,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7347_22
Sheep and shepherd-boy under a willow,Formerly attributed to Li Song (å³)æåµ© (late 12th-early 13th century),1368-1644,F1909.244e,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6050_05
Enjoying a meal on board a boat,,16th-17th century,F1911.490,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7321_46
Hubcap with linchpin cast in the form of a feline head,,1050-221 BCE,F1915.44a-b,Tool and Equipment,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6072_03
Traveling in Snowy Mountains,Formerly attributed to Yan Wengui (10th century),17th century,F1915.6,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7472_11
Ornament in the form of a bear,,206 BCE-220 CE,F1916.307,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7706_08
Returning Home after Harvest,Formerly attributed to Han Huang (723-787),17th century?,F1916.583,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6376_03
"Head of Bodhisattva in high relief, with high headdress containing Amida figure",,386-535,F1917.241,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8536_12
Tally in the form of a rabbit (fragment),,206 BCE-220 CE,F1919.80,Tool and Equipment,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7729_31
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1915.51,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1915.51_001-000001
"Mountain landscape: crags, temple and pines",,1368-1644,F1909.245o,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5923_02
Landscape with buildings and travelers,Formerly attributed to Zhao Bosu (1124-1182),17th century,F1911.176,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7451_01
Lidded ritual wine container (<em>you</em>) with taotie and dragons,,ca. 1200-1100 BCE,S1987.968a-b,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7282_42
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1919.27,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1919.27_001
"Tomb vessel with lid (""hill jar"")",,early 1st-early 3rd century,F1906.242a-b,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7361_38
Vessel cover,,early 1st-early 3rd century,F1907.52.2,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5113_09
Two birds swinging on a branch of bamboo,Formerly attributed to Zhao Boju (ca. 1120s-ca.1162),18th century,F1909.249g,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5374_07
Scenes from the Life of Tao Yuanming (part 2),,1368-1644,F1911.526,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7480_34
Ornament in the form of a tiger (fragment),,ca. 900 BCE,F1915.137,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7727_25
Palace Ladies Tuning a Zither (qin),Traditionally attributed to Zhou Fang (å³)å¨æ (ca. 730-ca. 800),1368-1644,F1916.231,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7326_29
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1918.16,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1918.16_001
Landscape: two men sitting under a tree beside a waterfall,Formerly attributed to Xia Gui å¤çª (active ca. 1195-1230),14th-15th century,F1911.161b,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7518_02
Ritual grain server (gui),,9th-8th century BCE,F1911.54a-b,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7372_15
Support in the form of a bear,,206 BCE-220 CE,F1915.160,Furniture and Furnishing,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7737_09
Wild Geese Descending to a Sandbar,Formerly attributed to Jiang Shen (ca. 1090-1138),1368-1644,F1916.563,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7406_44
Disk (<em>bi</em> ç§),,ca. 3300-2250 BCE,F1917.352,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1917.352_001
Mounted huntsman leading a dog,Formerly attributed to Zhao Mengfu è¶å­é « (1254-1322),1368-1644,F1909.251f,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7066_06
Ritual water basin (pan),,ca. 8th century BCE,F1911.35,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7372_12
A Garden Party,Formerly attributed to Qian Xuan é¢é¸ (late 13th century),16th century?,F1911.513,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7474_17
Spring Festival on the River,Traditionally attributed to Qiu Ying ä»è± (ca. 1494-1552),18th century,F1915.2,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1915.2_003
Fishermen on an Autumn River,Dai Jin (1388-1462),15th century,F1930.80,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6330_02L
Horses and Grooms Crossing a River,Traditionally attributed to Zhao Mengfu è¶å­é « (1254-1322),14th century,F1931.3,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8020_06
Harness fitting,,5th-4th century BCE,F1979.9,Tool and Equipment,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7814_15
Disk (<em>bi</em> ç§),,ca. 1600-ca. 1050 BCE,F1912.44,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1912.44_001-000001
"Han slab in low relief from mortuary chamber; design in two registers, of men, horses, and carts",,206 BCE-220 CE,F1914.57,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8535_51
Pavilion on the Hillside,Traditionally attributed to Ma Yuan é¦¬é  (active late 12th-early 13th century),15th century,F1915.36j,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8257_10
Deer-shaped ornament (fragment),,206 BCE-220 CE,F1916.448,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7603_14
Three goats under a flowering plum tree,Formerly attributed to Yi Yuanji (active mid- to late 11th century),16th-17th century,F1919.178,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5111_08
Herons and Water Plants,,1368-1644,F1893.32,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6389_01
Tomb jar,,early 1st-early 3rd century,F1905.84,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7347_10
A Basket of Flowers,Formerly attributed to Qian Xuan é¢é¸ (late 13th century),16th century,F1909.243d,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5413_04
"Ducklings, rocks, and flowers",,1368-1644,F1911.161h,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7518_08
A Cock and Bamboos,Formerly attributed to Emperor Huizong (1082-1135 (reigned 1101-1125)),1368-1644,F1915.13,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8494_08
Garment hook (<em>daigou</em>),,4th-3rd century BCE,F1915.229,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8239_12
Tartar horsemen,,1368-1644,F1916.545,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5673_01
Snowscape after Guo Xi,Li Yin æå¯ (active 1694-1710),1702,F1916.89,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5568_03
Winter landscape: hills and river; figures of mounted travelers,,15th-16th century,F1919.129,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5826_02
Two Fighting Water Buffaloes,,13th-14th century,F1992.43,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7472_38
Pure Sanctuary with Pine Grown Stairs,Copy after Yan Ciping (å³)é»æ¬¡å¹³ (active ca. 1164-after 1181),15th-16th century,F1909.245u,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7112_01
"Standing bodhisattvas with monks, Pratyekabuddhas, lions, and apasaras",,557-581,F1909.293a-b,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7755_18
Mirror,,206 BCE-220 CE,F1911.118,Mirror,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5994_11
"Birds, Fruit, and Flowers",Wu Zhang (1671-after 1741),1741,F1911.502a,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7430_04
"Old Trees and Cold Crows, in the style of Zhao Danian",Formerly attributed to Zhao Boju (ca. 1120s-ca.1162),14th century?,F1914.62,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8330_06
Tomb jar,,early 1st-early 3rd century,F1916.487a-b,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5854_06
Plaque with ox head,,ca. 1050-221 BCE,F1916.711,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7729_14
"Oracle bone, inscribed",,ca. 1600 - ca. 1050 BCE,FSC-O-32,Natural Material,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-FSC-O-32_1
Forked blade (<em>zhang</em> ç),,ca. 2000-1700 BCE,F1916.494,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.494_001
Bracelet,,ca. 3300-2250 BCE,F1919.49,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1919.49_001
Buddhist sculpture,,557-581,F1909.77,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7754_22
Bowl,,1700-1735,F1916.347,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7806_19
Dhyana Buddha,,1368-1644,F1917.104,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5719_03
"Harvesting knife (<em>hu</em> ç¬), fragment",,ca. 2000-ca. 1700 BCE,F1916.416,Ceremonial Object,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-F1916.416_001
An Herb Gatherer,Traditionally attributed to Li Cheng ææ (919-967),1368-1644,F1913.64,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5751_04
Dish,,1700-1735,F1916.414a-b,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7781_13
Double lintel: decorated with floral and other designs in low relief and incised work,,386-535,F1917.239a-b,Architectural Element,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8536_10
Pendant with dragon heads and raised linked curls,,475-221 BCE,F1932.38,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7766_25
The Eighteen Scholars at a Literary Gathering,Formerly attributed to Qian Xuan é¢é¸ (late 13th century),17th century,F1909.209,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7479_31
The Buddhas Duobao (Prabhutaratna) and Sakyamuni standing side-by-side,,473,F1911.125,Sculpture,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-6742_03
Washing the elephant,Traditionally attributed to Qian Xuan é¢é¸ (late 13th century),17th century,F1911.163i,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7271_11
Discussing the Dao in the Shade of Pines,Follower of Yan Hui é¡è¼ (late 13th-early 14th century),14th century,F1911.295,Painting,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-8543_01
Tongue amulet in the form of a cicada (<em>hanchan</em>),,206 BCE-220 CE,F1914.100,Jewelry and Ornament,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-5933_02
Tally in the form of a tiger (fragment),,206 BCE-220 CE,F1916.481a-d,Tool and Equipment,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7729_06
Jar,,6th century,F1930.33,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-7588_11
"Sherd, undecorated",,ca. 1600 - ca. 1050 BCE,FSC-P-4209,Vessel,Chinese,https://ids.si.edu/ids/deliveryService?id=FS-FSC-P-4209_1
